1	Two Sum	[Array, Hash Table]	17.7%	Medium
2	Add Two Numbers	[Linked List, Math]	20.8%	Medium
3	Longest Substring Without Repeating Characters	[Hash Table, Two Pointers, String]	20.4%	Medium
4	Median of Two Sorted Arrays	[Divide and Conquer, Array, Binary Search]	17.3%	Hard
5	Longest Palindromic Substring	[String]	20.7%	Medium
6	ZigZag Conversion	[String]	21.7%	Easy
7	Reverse Integer	[Math]	24.6%	Easy
8	String to Integer (atoi)	[Math, String]	12.9%	Easy
9	Palindrome Number	[Math]	28.4%	Easy
10	Regular Expression Matching	[Dynamic Programming, Backtracking, String]	20.6%	Hard
11	Container With Most Water	[Array, Two Pointers]	31.9%	Medium
12	Integer to Roman	[Math, String]	33.8%	Medium
13	Roman to Integer	[Math, String]	34.1%	Easy
14	Longest Common Prefix	[String]	25.5%	Easy
15	3Sum	[Array, Two Pointers]	16.9%	Medium
16	3Sum Closest	[Array, Two Pointers]	26.9%	Medium
17	Letter Combinations of a Phone Number	[Backtracking, String]	25.7%	Medium
18	4Sum	[Array, Hash Table, Two Pointers]	21.7%	Medium
19	Remove Nth Node From End of List	[Linked List, Two Pointers]	27.0%	Easy
20	Valid Parentheses	[Stack, String]	26.5%	Easy
21	Merge Two Sorted Lists	[Linked List]	32.6%	Easy
22	Generate Parentheses	[Backtracking, String]	32.6%	Medium
23	Merge k Sorted Lists	[Divide and Conquer, Linked List, Heap]	21.1%	Hard
24	Swap Nodes in Pairs	[Linked List]	32.4%	Medium
25	Reverse Nodes in k-Group	[Linked List]	25.4%	Hard
26	Remove Duplicates from Sorted Array	[Array, Two Pointers]	31.1%	Easy
27	Remove Element	[Array, Two Pointers]	32.0%	Easy
28	Implement strStr()	[Two Pointers, String]	22.3%	Easy
29	Divide Two Integers	[Math, Binary Search]	15.0%	Medium
30	Substring with Concatenation of All Words	[Hash Table, Two Pointers, String]	19.5%	Hard
31	Next Permutation	[Array]	24.9%	Medium
32	Longest Valid Parentheses	[Dynamic Programming, String]	20.9%	Hard
33	Search in Rotated Sorted Array	[Array, Binary Search]	28.8%	Hard
34	Search for a Range	[Array, Binary Search]	27.5%	Medium
35	Search Insert Position	[Array, Binary Search]	35.4%	Medium
36	Valid Sudoku	[Hash Table]	27.2%	Easy
37	Sudoku Solver	[Backtracking, Hash Table]	21.9%	Hard
38	Count and Say	[String]	25.3%	Easy
